repo_name,library,library_language,number_of_commits
eajakap/eugenp-tutorials,Togglz,"Java,Kotlin",11400
oneops/secrets-proxy,Togglz,"Java,Kotlin",232
rieckpil/learning-samples,Togglz,"Java,Kotlin",717
rieckpil/blog-tutorials,Togglz,"Java,Kotlin",344
syswin-bj/temail-data-consistency,Togglz,"Java,Kotlin",204
efluid/efluidDataGate,Togglz,"Java,Kotlin",437
scott-seo/dvdstore-api,Togglz,"Java,Kotlin",187
nikitachetia/toggle,Togglz,"Java,Kotlin",670
incodehq/contactapp,Togglz,"Java,Kotlin",416
onap/sdc,Togglz,"Java,Kotlin",2109
pheidotting/symplex,Togglz,"Java,Kotlin",1470
pheidotting/dejonge,Togglz,"Java,Kotlin",1129
Arnaud-Nauwynck/test-snippets,Togglz,"Java,Kotlin",171
agorava/agorava-socializer,Togglz,"Java,Kotlin",116
hypery2k/angular_cordova_app,Togglz,"Java,Kotlin",108
nikitachetia/jpetclinicToggle,Togglz,"Java,Kotlin",594
incodehq/incode-platform,Togglz,"Java,Kotlin",4002
lightblue-platform/lightblue-migrator,Togglz,"Java,Kotlin",1134
haogrgr/haogrgr-test,Togglz,"Java,Kotlin",308
linux-china/platform-bom-contrib,Togglz,"Java,Kotlin",1387
esign-consulting/logistics,Togglz,"Java,Kotlin",183
ORCID/ORCID-Source,Togglz,"Java,Kotlin",22499
estatio/estatio,Togglz,"Java,Kotlin",5122
mathisdt/sdb2,Togglz,"Java,Kotlin",312
php-coder/mystamps,Togglz,"Java,Kotlin",3866
apache/isis,Togglz,"Java,Kotlin",11664
onap/vid,Togglz,"Java,Kotlin",1198
wolfiabot/Wolfia,Togglz,"Java,Kotlin",712
Frederikam/FredBoat,Togglz,"Java,Kotlin",2566
tylerbenson/vyllage,Togglz,"Java,Kotlin",3644
zhaoyi0113/zaozao,Togglz,"Java,Kotlin",167
rahulyewale/goodwillcoders-plateletapp,FF4J,"Java,Kotlin",161
benjaminrclark/cate,FF4J,"Java,Kotlin",130
hmcts/bar-apps,FF4J,"Java,Kotlin",813
ff4j/ff4j-spring-boot-starter-parent,FF4J,"Java,Kotlin",304
LVCarnevalli/javaclean,FF4J,"Java,Kotlin",102
chpladmin/chpl-api,FF4J,"Java,Kotlin",6255
pmajkutewicz/ImapCloud,FF4J,"Java,Kotlin",318
ff4j/ff4j-extra,FF4J,"Java,Kotlin",107
ElmarDott/TP-CORE,FF4J,"Java,Kotlin",153
hmcts/ccpay-payment-app,FF4J,"Java,Kotlin",2220
osvaldjr/easy-cucumber,FF4J,"Java,Kotlin",201
otto-de/edison-microservice,Togglz,"Java,Kotlin",1256
slolobdill44/Hamcamp,launchdarkly,"JavaScript,TypeScript",145
varijkapil13/atlaskit,launchdarkly,"JavaScript,TypeScript",13684
NickPyae/gfg-gpe-frontend,launchdarkly,"JavaScript,TypeScript",2960
TrueCar/react-launch-darkly,launchdarkly,"JavaScript,TypeScript",225
intuit/LD-React-Components,launchdarkly,"JavaScript,TypeScript",245
dtacci/launchdarkly-test,launchdarkly,"JavaScript,TypeScript",2323
LightsOnTheLawn/www,launchdarkly,"JavaScript,TypeScript",108
ChenXiaoqing-6/knowledge-base,launchdarkly,"JavaScript,TypeScript",115
ember-launch-darkly/ember-launch-darkly,launchdarkly,"JavaScript,TypeScript",130
forestryio/forestry.io,launchdarkly,"JavaScript,TypeScript",4076
xaasutility/xsu,launchdarkly,"JavaScript,TypeScript",671
salesforce/refocus,feature-toggles,"JavaScript,TypeScript",1059
thanpolas/nodeON,feature-toggles,"JavaScript,TypeScript",203
mattiaerre/homeless-alarm,feature-toggles,"JavaScript,TypeScript",101
salesforce/refocus-real-time,feature-toggles,"JavaScript,TypeScript",121
DFEAGILEDEVOPS/MTC,feature-toggles,"JavaScript,TypeScript",2493
DaWe1992/Invoice_KuGa,feature-toggles,"JavaScript,TypeScript",107
hmcts/ccfr-fees-register-admin-web,feature-toggles,"JavaScript,TypeScript",569
odch/aircraft-logbook,feature-toggles,"JavaScript,TypeScript",148
goodmind/FlowDefinitelyTyped,ember-feature-flags,"JavaScript,TypeScript",64181
CenterForOpenScience/ember-osf-web,ember-feature-flags,"JavaScript,TypeScript",4203
aptible/dashboard.aptible.com,ember-feature-flags,"JavaScript,TypeScript",2157
aymerick/kowa-client,ember-feature-flags,"JavaScript,TypeScript",459
backspace/adventure-gathering,ember-feature-flags,"JavaScript,TypeScript",355
ibroadfo/flowerpot,ember-feature-flags,"JavaScript,TypeScript",343
arnaudlimbourg/formidable-ui,ember-feature-flags,"JavaScript,TypeScript",563
sarupbanskota/get-yalla,ember-feature-flags,"JavaScript,TypeScript",108
mwisner/ember-ci-examples,ember-feature-flags,"JavaScript,TypeScript",123
UpdraftGroup/CapitolZen-Frontend,ember-feature-flags,"JavaScript,TypeScript",972
emberobserver/client,ember-feature-flags,"JavaScript,TypeScript",717
